,SMILE,Compound
1,O=C(C)NC[C@H](OC1=O)CN1C(C=C2F)=CC=C2N3CCN(CC4=CC=C([N+]([O-])=O)O4)CC3,1
2,NC1=CN=C(C=NN2CCN(C3=CC=C(N4C[C@H](CNC(C)=O)OC4=O)C=C3F)CC2)N1C,2a
3,CC1=NC=C([N+]([O-])=O)N1CC=NN2CCN(C3=CC=C(N4C[C@H](CNC(C)=O)OC4=O)C=C3F)CC2,2b
4,CC1=NC=C([N+]([O-])=O)N1CC(C)=NN2CCN(C3=CC=C(N4C[C@H](CNC(C)=O)OC4=O)C=C3F)CC2,2c
5,O=C(C)NC[C@H](OC1=O)CN1C(C=C2F)=CC=C2N3CCN(/N=C/C4=CC=C([N+]([O-])=O)O4)CC3,2d
6,O=C(C)NC[C@H](OC1=O)CN1C(C=C2F)=CC=C2N3CCN(/N=C/C4=CC=C([N+]([O-])=O)S4)CC3,2e
7,O=C(C)NC[C@H](OC1=O)CN1C(C=C2F)=CC=C2N3CCN(/N=C/C4=C(Cl)C=CC=C4[N+]([O-])=O)CC3,2f
8,O=C(C)NC[C@H](OC1=O)CN1C(C=C2F)=CC=C2N3CCN(/N=C/C4=CC=CC=C4[N+]([O-])=O)CC3,2g
9,O=C(C)NC[C@H](OC1=O)CN1C(C=C2F)=CC=C2N3CCN(/N=C/C4=CC([N+]([O-])=O)=CC=C4)CC3,2h
10,O=C(C)NC[C@H](OC1=O)CN1C(C=C2F)=CC=C2N3CCN(/N=C/C4=CC=C([N+]([O-])=O)C=C4)CC3,2i
11,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=CC=CC=C4)CC3)C(F)=C2,3a
12,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=CC=C(C(C)O)C=C4)CC3)C(F)=C2,3b
13,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=CC=C(OC(F)(F)F)C=C4)CC3)C(F)=C2,3c
14,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=CC(OC(F)(F)F)=CC=C4)CC3)C(F)=C2,3d
15,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=C(OC(F)(F)F)C=CC=C4)CC3)C(F)=C2,3e
16,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=CC=C(F)C=C4)CC3)C(F)=C2,3f
17,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=CC=C(Cl)C=C4)CC3)C(F)=C2,3g
18,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=CC=C(Br)C=C4)CC3)C(F)=C2,3h
19,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=CC(Br)=CC=C4)CC3)C(F)=C2,3i
20,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=C(Br)C=CC=C4)CC3)C(F)=C2,3j
21,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NC4=C(F)C=C(Br)C=C4)CC3)C(F)=C2,3k
22,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NCC4=CC=CC=C4)CC3)C(F)=C2,3l
23,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3CCC(NCC4=CC=C(F)C=C4)CC3)C(F)=C2,3m
24,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3N=CC(C4=CC=C(C(N)=O)C=N4)=C3)C(F)=C2,4a
25,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3N=CC(C4=CC=C(C(OC)=O)C=N4)=C3)C(F)=C2,4b
26,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3N=CC(C4=CN=CC=N4)=C3)C(F)=C2,4c
27,O=C(C)NC[C@H](OC1=O)CN1C2=CC=C(N3N=CC(C4=NC(C=CC=C5)=C5N=C4)=C3)C(F)=C2,4d
28,O=C(C)NC[C@H](OC1=O)CN1C2=CC(F)=C(N3N=CC(C4=CC=CC=N4)=C3)C(F)=C2,4e
